accelerateType,attributeAcceleration,attributeAggression,attributeAgility,attributeBalance,attributeBallControl,attributeComposure,attributeCrossing,attributeCurve,attributeDefensiveAwareness,attributeDribbling,attributeFinishing,attributeFkAccuracy,attributeGkDiving,attributeGkHandling,attributeGkKicking,attributeGkPositioning,attributeGkReflexes,attributeHeadingAccuracy,attributeInterceptions,attributeJumping,attributeLongPassing,attributeLongShots,attributePenalties,attributePositioning,attributeReactions,attributeShortPassing,attributeShotPower,attributeSlidingTackle,attributeSprintSpeed,attributeStamina,attributeStandingTackle,attributeStrength,attributeVision,attributeVolleys,bodytype,commonName,eaId,foot,height,overall,playstyles,playstylesPlus,positions,rolesPlus,rolesPlusPlus,skillMoves,weakFoot,weight,player_origin_id,debug_index,__true_player_id,archetype,metarating,__player_id
,92,92,93,86,88,84,92,91,82,88,78,45,1,1,1,1,1,71,82,90,89,83,68,99,82,91,92,92,96,93,91,78,81,85,Average Medium,Abner Vinícius,50595463,Left,182,89,"['Incisive Pass', 'Whipped Pass', 'Block', 'Intercept', 'Press Proven', 'Relentless']","['Quick Step', 'Pinged Pass']","['LM', 'LB', 'CM']","['CM Box to Box', 'CM Holding', 'CM Half-Winger', 'LM Wide Midfielder', 'LM Wide Playmaker']","['LB Fullback', 'LB Falseback', 'CM Deep-Lying Playmaker', 'CM Playmaker', 'LM Winger']",4,4,74.0,50595463_13,13,50595463,fullback,89.61214425245271,50595463_13_fullback
,92,92,93,86,88,84,92,91,82,88,78,45,1,1,1,1,1,71,82,90,89,83,68,99,82,91,92,92,96,93,91,78,81,85,Average Medium,Abner Vinícius,50595463,Left,182,89,"['Incisive Pass', 'Whipped Pass', 'Block', 'Intercept', 'Press Proven', 'Relentless']","['Quick Step', 'Pinged Pass']","['LM', 'LB', 'CM']","['CM Box to Box', 'CM Holding', 'CM Half-Winger', 'LM Wide Midfielder', 'LM Wide Playmaker']","['LB Fullback', 'LB Falseback', 'CM Deep-Lying Playmaker', 'CM Playmaker', 'LM Winger']",4,4,74.0,50595463_13,13,50595463,falseback,86.87591912637225,50595463_13_falseback
,92,92,93,86,88,84,92,91,82,88,78,45,1,1,1,1,1,71,82,90,89,83,68,99,82,91,92,92,96,93,91,78,81,85,Average Medium,Abner Vinícius,50595463,Left,182,89,"['Incisive Pass', 'Whipped Pass', 'Block', 'Intercept', 'Press Proven', 'Relentless']","['Quick Step', 'Pinged Pass']","['LM', 'LB', 'CM']","['CM Box to Box', 'CM Holding', 'CM Half-Winger', 'LM Wide Midfielder', 'LM Wide Playmaker']","['LB Fullback', 'LB Falseback', 'CM Deep-Lying Playmaker', 'CM Playmaker', 'LM Winger']",4,4,74.0,50595463_13,13,50595463,deep_lying_playmaker,86.43645527914944,50595463_13_deep_lying_playmaker
,84,99,73,75,68,83,49,48,89,68,40,43,1,1,1,1,1,86,88,99,78,39,55,50,87,77,67,86,85,99,90,99,73,41,Lean Tall,Ethan Pinnock,50570365,Left,194,89,"['Incisive Pass', 'Long Ball Pass', 'Block', 'Anticipate', 'Press Proven', 'Long Throw']","['Tiki Taka', 'Aerial']",['CB'],[],"['CB Stopper', 'CB Ball-Playing Defender', 'CB Defender']",3,4,79.0,50570365_14,14,50570365,stopper,83.84369852356511,50570365_14_stopper
,84,99,73,75,68,83,49,48,89,68,40,43,1,1,1,1,1,86,88,99,78,39,55,50,87,77,67,86,85,99,90,99,73,41,Lean Tall,Ethan Pinnock,50570365,Left,194,89,"['Incisive Pass', 'Long Ball Pass', 'Block', 'Anticipate', 'Press Proven', 'Long Throw']","['Tiki Taka', 'Aerial']",['CB'],[],"['CB Stopper', 'CB Ball-Playing Defender', 'CB Defender']",3,4,79.0,50570365_14,14,50570365,defender,84.45500550135557,50570365_14_defender
,84,99,73,75,68,83,49,48,89,68,40,43,1,1,1,1,1,86,88,99,78,39,55,50,87,77,67,86,85,99,90,99,73,41,Lean Tall,Ethan Pinnock,50570365,Left,194,89,"['Incisive Pass', 'Long Ball Pass', 'Block', 'Anticipate', 'Press Proven', 'Long Throw']","['Tiki Taka', 'Aerial']",['CB'],[],"['CB Stopper', 'CB Ball-Playing Defender', 'CB Defender']",3,4,79.0,50570365_14,14,50570365,ball_playing_defender,82.48363625795764,50570365_14_ball_playing_defender
,98,85,88,88,82,90,83,64,87,80,95,57,1,1,1,1,1,73,84,92,94,72,55,99,90,90,69,80,96,85,87,90,90,39,Average Tall,Moïse Bombito,67383400,Right,190,90,"['Pinged Pass', 'Long Ball Pass', 'Block', 'Intercept', 'Slide Tackle', 'Rapid', 'Press Proven']","['Anticipate', 'Bruiser']","['CDM', 'LB', 'CB']","['LB Falseback', 'LB Wingback', 'CDM Deep-Lying Playmaker']","['LB Fullback', 'CB Defender', 'CB Stopper', 'CB Ball-Playing Defender', 'CDM Holding']",4,4,81.0,67383400_15,15,67383400,stopper,88.06863226380366,67383400_15_stopper
,98,85,88,88,82,90,83,64,87,80,95,57,1,1,1,1,1,73,84,92,94,72,55,99,90,90,69,80,96,85,87,90,90,39,Average Tall,Moïse Bombito,67383400,Right,190,90,"['Pinged Pass', 'Long Ball Pass', 'Block', 'Intercept', 'Slide Tackle', 'Rapid', 'Press Proven']","['Anticipate', 'Bruiser']","['CDM', 'LB', 'CB']","['LB Falseback', 'LB Wingback', 'CDM Deep-Lying Playmaker']","['LB Fullback', 'CB Defender', 'CB Stopper', 'CB Ball-Playing Defender', 'CDM Holding']",4,4,81.0,67383400_15,15,67383400,ball_playing_defender,88.38094865939716,67383400_15_ball_playing_defender
,98,85,88,88,82,90,83,64,87,80,95,57,1,1,1,1,1,73,84,92,94,72,55,99,90,90,69,80,96,85,87,90,90,39,Average Tall,Moïse Bombito,67383400,Right,190,90,"['Pinged Pass', 'Long Ball Pass', 'Block', 'Intercept', 'Slide Tackle', 'Rapid', 'Press Proven']","['Anticipate', 'Bruiser']","['CDM', 'LB', 'CB']","['LB Falseback', 'LB Wingback', 'CDM Deep-Lying Playmaker']","['LB Fullback', 'CB Defender', 'CB Stopper', 'CB Ball-Playing Defender', 'CDM Holding']",4,4,81.0,67383400_15,15,67383400,holding,89.42730736208364,67383400_15_holding
,98,85,88,88,82,90,83,64,87,80,95,57,1,1,1,1,1,73,84,92,94,72,55,99,90,90,69,80,96,85,87,90,90,39,Average Tall,Moïse Bombito,67383400,Right,190,90,"['Pinged Pass', 'Long Ball Pass', 'Block', 'Intercept', 'Slide Tackle', 'Rapid', 'Press Proven']","['Anticipate', 'Bruiser']","['CDM', 'LB', 'CB']","['LB Falseback', 'LB Wingback', 'CDM Deep-Lying Playmaker']","['LB Fullback', 'CB Defender', 'CB Stopper', 'CB Ball-Playing Defender', 'CDM Holding']",4,4,81.0,67383400_15,15,67383400,defender,89.76810485142593,67383400_15_defender
,98,85,88,88,82,90,83,64,87,80,95,57,1,1,1,1,1,73,84,92,94,72,55,99,90,90,69,80,96,85,87,90,90,39,Average Tall,Moïse Bombito,67383400,Right,190,90,"['Pinged Pass', 'Long Ball Pass', 'Block', 'Intercept', 'Slide Tackle', 'Rapid', 'Press Proven']","['Anticipate', 'Bruiser']","['CDM', 'LB', 'CB']","['LB Falseback', 'LB Wingback', 'CDM Deep-Lying Playmaker']","['LB Fullback', 'CB Defender', 'CB Stopper', 'CB Ball-Playing Defender', 'CDM Holding']",4,4,81.0,67383400_15,15,67383400,fullback,91.96240359301711,67383400_15_fullback
,86,62,81,74,85,88,84,87,45,87,90,74,1,1,1,1,1,72,39,82,72,89,75,91,90,83,89,33,88,88,34,69,82,83,Unique,Heung Min Son,200104,Right,183,87,"['Rapid', 'Trickster', 'Quick Step']",['Finesse Shot'],"['ST', 'LM']","['ST False 9', 'LM Inside Forward']",['ST Advanced Forward'],5,5,78.0,200104_16,16,200104,advanced_forward,83.90525538604977,200104_16_advanced_forward
,75,97,86,61,95,96,51,69,90,81,32,31,1,1,1,1,1,85,88,85,99,21,45,45,97,99,43,90,82,71,89,97,99,30,Average Tall,Isaak Touré,50590620,Left,206,90,"['Jockey', 'Block', 'Anticipate', 'Trickster', 'Relentless', 'Aerial']","['Bruiser', 'Long Ball Pass']",['CB'],['CB Stopper'],"['CB Ball-Playing Defender', 'CB Defender']",5,5,98.0,50590620_17,17,50590620,ball_playing_defender,90.25483560030216,50590620_17_ball_playing_defender
,75,97,86,61,95,96,51,69,90,81,32,31,1,1,1,1,1,85,88,85,99,21,45,45,97,99,43,90,82,71,89,97,99,30,Average Tall,Isaak Touré,50590620,Left,206,90,"['Jockey', 'Block', 'Anticipate', 'Trickster', 'Relentless', 'Aerial']","['Bruiser', 'Long Ball Pass']",['CB'],['CB Stopper'],"['CB Ball-Playing Defender', 'CB Defender']",5,5,98.0,50590620_17,17,50590620,defender,89.41408551672887,50590620_17_defender
,88,74,81,80,81,80,76,73,30,83,75,63,1,1,1,1,1,68,36,73,59,68,65,77,80,71,81,39,93,80,44,82,67,75,Average Tall,Víctor Ibarbo,67313414,Right,188,78,"['Rapid', 'Aerial', 'Quick Step', 'Bruiser']",['Press Proven'],"['RM', 'RW']","['RM Inside Forward', 'RM Winger']","['RW Inside Forward', 'RW Winger']",4,4,79.0,67313414_18,18,67313414,winger,74.66554591859551,67313414_18_winger
,88,74,81,80,81,80,76,73,30,83,75,63,1,1,1,1,1,68,36,73,59,68,65,77,80,71,81,39,93,80,44,82,67,75,Average Tall,Víctor Ibarbo,67313414,Right,188,78,"['Rapid', 'Aerial', 'Quick Step', 'Bruiser']",['Press Proven'],"['RM', 'RW']","['RM Inside Forward', 'RM Winger']","['RW Inside Forward', 'RW Winger']",4,4,79.0,67313414_18,18,67313414,inside_forward,73.24174528475713,67313414_18_inside_forward
,91,65,81,81,82,82,48,72,28,83,84,72,1,1,1,1,1,72,40,82,65,75,80,84,80,76,82,31,94,93,37,65,73,82,Stocky Medium,Seydou Doumbia,67297292,Right,179,82,"['Finesse Shot', 'Trivela', 'First Touch', 'Quick Step']",['Tiki Taka'],['ST'],"['ST False 9', 'ST Target Forward']","['ST Advanced Forward', 'ST Poacher']",4,4,81.0,67297292_19,19,67297292,poacher,77.34135420576351,67297292_19_poacher
,91,65,81,81,82,82,48,72,28,83,84,72,1,1,1,1,1,72,40,82,65,75,80,84,80,76,82,31,94,93,37,65,73,82,Stocky Medium,Seydou Doumbia,67297292,Right,179,82,"['Finesse Shot', 'Trivela', 'First Touch', 'Quick Step']",['Tiki Taka'],['ST'],"['ST False 9', 'ST Target Forward']","['ST Advanced Forward', 'ST Poacher']",4,4,81.0,67297292_19,19,67297292,advanced_forward,78.14037555941265,67297292_19_advanced_forward
,94,55,86,80,82,80,72,71,34,85,72,60,1,1,1,1,1,61,43,60,68,64,59,78,80,75,67,34,92,80,38,60,73,65,Lean Medium,Gervinho,67279597,Right,179,81,"['Rapid', 'Trickster', 'Pinged Pass', 'Quick Step']",['Technical'],"['LM', 'LW']","['LM Winger', 'LM Inside Forward']","['LW Winger', 'LW Inside Forward']",4,4,65.0,67279597_20,20,67279597,winger,76.27840058389066,67279597_20_winger
